,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.61,0.65,0.31,0.48,0.62,0.19,0.0,0.65,0.46,0.53,0.35,0.53
freedom-erp.csv,0.51,0.05,0.52,0.05,0.4,0.0,0.72,0.0,0.39,0.07,0.0,0.06
javaprofiler.csv,0.67,0.48,0.51,0.57,0.37,0.56,0.0,0.4,0.49,0.57,0.52,0.73
jmoney.csv,0.85,0.72,0.42,0.26,0.33,0.36,0.36,0.53,0.28,0.25,0.52,0.2
jsidplay2.csv,0.7,0.48,0.81,0.37,0.23,0.41,0.13,0.29,0.62,0.59,0.32,0.29
reaper3d.csv,0.73,0.69,0.59,0.1,0.21,0.26,0.6,0.73,0.57,0.42,0.53,0.28
servicestack.csv,0.06,0.0,0.0,0.1,0.15,0.01,0.01,0.0,0.68,0.04,0.0,0.04
springside.csv,0.5,0.17,0.52,0.8,0.41,0.45,0.65,0.49,0.66,0.39,0.39,0.39
swtfox.csv,0.12,0.7,0.22,0.42,0.56,0.4,0.02,0.0,0.0,0.51,0.51,0.63
synecdoche.csv,0.72,0.64,0.72,0.28,0.43,0.55,0.54,0.63,0.42,0.56,0.64,0.35
tmva.csv,0.53,0.53,0.34,0.72,0.45,0.77,0.0,0.69,0.09,0.55,0.42,0.38
wsmt.csv,0.29,0.23,0.06,0.35,0.15,0.07,0.05,0.0,0.5,0.8,0.09,0.58
