,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.3,0.37,0.18,0.15,0.13,0.69,0.48,0.26,0.09,0.76,0.79,0.66,0.73,0.54,0.41,0.06,0.27,0.31
aztec.csv,0.47,0.32,0.15,0.1,0.25,0.73,0.35,0.56,0.21,1.0,0.83,0.67,0.83,0.74,0.59,0.07,0.62,0.13
bibedt.csv,0.22,0.38,0.22,0.09,0.15,0.69,0.28,0.73,0.15,0.41,0.83,0.75,0.7,0.71,0.38,0.1,0.45,0.25
esmf.csv,0.42,0.26,0.23,0.14,0.07,0.59,0.31,0.2,0.1,0.34,0.81,0.44,0.63,0.79,0.31,0.05,0.26,0.31
irrlicht.csv,0.21,0.31,0.24,0.12,0.08,0.54,0.28,0.2,0.08,0.36,0.82,0.5,0.63,0.6,0.31,0.0,0.23,0.21
jstock.csv,0.43,0.18,0.15,0.2,0.1,0.64,0.3,0.24,0.14,0.88,0.87,0.76,0.89,0.7,0.46,0.03,0.57,0.18
kowari.csv,0.26,0.15,0.25,0.11,0.08,0.54,0.26,0.2,0.25,0.22,0.76,0.41,0.54,0.64,0.3,0.05,0.28,0.22
lportal.csv,0.29,0.6,0.2,0.0,0.0,1.0,0.36,0.0,0.0,1.0,0.73,0.88,1.0,0.76,0.0,0.14,0.0,0.0
modellus.csv,0.25,0.44,0.14,0.2,0.19,0.83,0.41,1.0,0.2,0.83,0.86,0.8,0.79,0.68,0.67,0.08,0.5,0.26
open-data-kit.csv,0.36,0.32,0.15,0.06,0.12,0.7,0.34,0.3,0.09,0.65,0.81,0.63,0.86,0.63,0.35,0.05,0.44,0.12
pentahoanalysistool.csv,0.11,0.53,0.24,0.11,0.19,0.5,0.2,0.1,0.0,0.35,0.81,0.51,0.68,0.43,0.3,0.03,0.2,0.23
phet.csv,0.13,0.2,0.4,0.11,0.07,0.45,0.22,0.2,0.0,0.19,0.67,0.3,0.52,0.0,0.24,0.0,0.19,0.14
qtractor.csv,0.26,0.45,0.15,0.12,0.18,0.78,0.34,0.5,0.16,0.55,0.8,0.7,0.81,0.7,0.54,0.08,0.4,0.2
roller.csv,0.23,0.35,0.17,0.1,0.11,0.57,0.3,0.24,0.09,0.38,0.78,0.62,0.76,0.81,0.3,0.07,0.31,0.15
sumatrapdf.csv,0.21,0.33,0.24,0.05,0.06,0.65,0.29,0.24,0.08,0.69,0.79,0.56,0.67,0.6,0.33,0.04,0.31,0.22
synergyspace.csv,0.33,0.4,0.21,0.25,0.21,0.59,0.36,0.18,0.12,0.57,0.8,0.71,0.69,0.65,0.4,0.04,0.19,0.35
ultimairis.csv,0.4,0.39,0.22,0.14,0.09,0.66,0.29,0.0,0.1,0.43,0.81,0.57,0.77,0.62,0.56,0.04,0.24,0.29
voms.csv,0.41,0.44,0.19,0.44,0.0,0.69,0.28,0.0,0.09,0.77,0.81,0.67,0.89,0.64,0.69,0.04,0.4,0.3
