,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.99,0.85,0.53,0.54,0.65,0.94,0.55,0.57,0.53,0.74,0.43,0.59,0.42,0.86,0.48,0.46,0.49,0.65,0.42,0.63
bibletime.csv,0.51,0.54,0.44,0.44,0.41,0.43,0.39,0.47,0.43,0.39,0.34,0.4,0.43,0.43,0.38,0.39,0.4,0.47,0.35,0.35
critterding.csv,0.44,0.61,0.53,0.61,0.62,0.51,0.53,0.59,0.42,0.48,0.43,0.49,0.5,0.42,0.42,0.55,0.57,0.54,0.41,0.39
etics.csv,0.63,0.58,0.67,0.85,0.84,0.92,0.67,0.79,0.71,0.59,0.58,0.62,0.57,0.54,0.67,0.86,0.79,0.78,0.48,0.4
fmri-dmt.csv,0.99,0.8,0.0,0.92,0.89,0.96,0.0,0.86,0.88,0.67,0.67,0.93,0.0,0.0,0.8,0.8,0.95,0.9,0.75,0.83
genecys.csv,0.39,0.45,0.42,0.42,0.39,0.37,0.48,0.46,0.44,0.38,0.38,0.39,0.42,0.43,0.32,0.33,0.43,0.38,0.31,0.33
genoviz.csv,0.89,0.5,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8,0.0
kftpgrabber.csv,0.75,0.64,0.62,0.96,0.96,0.62,0.93,0.7,0.36,0.94,0.79,0.91,0.53,0.74,0.71,0.88,0.9,0.62,0.43,0.68
kvs.csv,0.48,0.5,0.75,0.85,0.94,0.61,0.83,0.7,0.62,0.54,0.47,0.92,0.71,0.83,0.7,0.86,0.88,0.73,0.88,0.71
mcore3d.csv,0.44,0.47,0.56,0.54,0.47,0.41,0.76,0.59,0.44,0.39,0.45,0.45,0.47,0.5,0.35,0.47,0.61,0.55,0.43,0.38
miranda.csv,0.8,0.93,0.78,0.85,0.95,0.57,0.89,0.79,0.43,0.76,0.72,0.64,0.92,0.48,0.9,0.78,0.81,0.63,0.71,0.4
modplug.csv,0.4,0.47,0.42,0.44,0.46,0.41,0.49,0.51,0.44,0.41,0.42,0.42,0.45,0.41,0.4,0.33,0.47,0.48,0.36,0.35
monetdb.csv,0.59,0.74,0.71,0.7,0.87,0.74,0.95,0.72,0.41,0.63,0.55,0.54,0.68,0.9,0.89,0.89,0.82,0.76,0.56,0.55
netatalk.csv,0.63,0.63,0.78,0.79,0.95,0.79,0.76,0.7,0.34,0.48,0.55,0.52,0.59,0.71,0.65,0.86,0.62,0.71,0.37,0.49
ogrehg.csv,0.68,0.5,0.5,0.64,0.74,0.57,0.94,0.66,0.45,0.58,0.54,0.49,0.52,0.67,0.85,0.52,0.84,0.54,0.45,0.57
passwordsafe.csv,0.53,0.62,0.52,0.54,0.51,0.56,0.88,0.59,0.41,0.51,0.43,0.53,0.47,0.73,0.5,0.52,0.64,0.53,0.32,0.46
projecteqemu.csv,0.91,0.68,0.78,0.73,0.65,0.9,0.86,0.82,0.39,0.62,0.57,0.63,0.57,0.75,0.75,0.47,0.68,0.7,0.67,0.48
reactos-mirror.csv,0.64,0.6,0.47,0.52,0.56,0.54,0.55,0.56,0.39,0.49,0.44,0.54,0.46,0.51,0.46,0.52,0.71,0.57,0.5,0.4
xbplayer.csv,0.65,0.55,0.83,0.81,0.82,0.62,0.9,0.74,0.67,0.92,0.75,0.6,0.52,0.67,0.77,0.89,0.92,0.6,0.46,0.6
xmoto.csv,0.45,0.49,0.57,0.53,0.52,0.44,0.45,0.49,0.34,0.36,0.43,0.44,0.44,0.42,0.35,0.5,0.51,0.54,0.33,0.35
