,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.56,0.7,0.39,0.31,0.42,0.62,0.51,0.29,0.54,0.67,0.8,0.44,0.77,0.26,0.57,0.59
biodwh.csv,0.43,0.37,0.38,0.24,0.35,0.24,0.38,0.15,0.25,0.23,0.37,0.1,0.66,0.5,0.45,0.6
bloodycore.csv,0.57,0.46,0.22,0.44,0.26,0.06,0.16,0.1,0.05,0.67,0.5,0.55,0.46,0.08,0.16,0.5
blue-c.csv,0.58,0.64,0.37,0.25,0.37,0.81,0.38,0.26,0.42,0.47,0.76,0.55,0.7,0.29,0.64,0.68
etics.csv,0.53,0.35,0.6,0.28,0.36,0.42,0.38,0.32,0.57,0.52,0.42,0.26,0.6,0.33,0.35,0.61
flexpay.csv,0.15,0.67,0.44,0.26,0.43,0.46,0.36,0.3,0.24,0.64,0.51,0.42,0.45,0.29,0.42,0.66
flylegacy.csv,0.29,0.71,0.24,0.24,0.36,0.7,0.52,0.29,0.42,0.31,0.7,0.42,0.59,0.19,0.63,0.53
ftm.csv,0.49,0.43,0.52,0.28,0.43,0.69,0.17,0.18,0.47,0.37,0.45,0.51,0.53,0.22,0.66,0.6
gzigzag.csv,0.35,0.58,0.52,0.29,0.47,0.46,0.52,0.3,0.54,0.24,0.5,0.19,0.56,0.31,0.61,0.75
img-browse-sort.csv,0.49,0.65,0.26,0.3,0.36,0.76,0.41,0.31,0.38,0.66,0.66,0.65,0.68,0.23,0.64,0.78
jcache.csv,0.56,0.86,0.47,0.19,0.36,0.69,0.51,0.29,0.44,0.54,0.72,0.44,0.7,0.31,0.3,0.86
jguard.csv,0.02,0.64,0.21,0.29,0.36,0.25,0.57,0.27,0.28,0.68,0.52,0.31,0.53,0.14,0.58,0.56
ppcboot.csv,0.57,0.83,0.42,0.28,0.36,0.71,0.51,0.3,0.41,0.64,0.71,0.4,0.8,0.3,0.64,0.61
qdvdauthor.csv,0.58,0.44,0.36,0.31,0.32,0.42,0.38,0.21,0.29,0.67,0.71,0.35,0.78,0.11,0.52,0.53
reactos-mirror.csv,0.61,0.77,0.41,0.26,0.37,0.64,0.43,0.28,0.55,0.69,0.68,0.47,0.73,0.27,0.2,0.7
unbvision.csv,0.57,0.53,0.56,0.24,0.4,0.41,0.36,0.3,0.6,0.44,0.47,0.48,0.65,0.3,0.24,0.54
