,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.55,0.68,0.95,0.62,0.57,0.12,0.46,0.88,0.22,0.79,0.24,0.68,0.58,0.94,0.45,0.98
biodwh.csv,0.13,0.14,0.71,0.13,0.14,0.0,0.3,0.23,0.06,0.12,0.07,0.16,0.16,0.25,0.21,0.15
bloodycore.csv,0.98,0.36,0.83,0.25,0.4,0.0,0.09,0.14,0.09,0.85,0.16,0.08,0.16,0.17,0.1,0.05
blue-c.csv,0.52,0.41,0.95,0.34,0.55,0.2,0.45,0.75,0.69,0.17,0.35,0.5,0.32,0.42,0.54,0.41
etics.csv,0.15,0.09,0.19,0.19,0.13,0.0,0.38,0.4,0.06,0.14,0.16,0.18,0.21,0.48,0.07,0.17
flexpay.csv,0.07,0.59,0.02,0.56,0.71,0.92,0.68,0.3,0.51,0.74,0.82,0.76,0.63,0.51,0.62,0.17
flylegacy.csv,0.22,0.41,0.76,0.49,0.92,0.44,0.84,0.8,0.32,0.22,0.42,0.76,0.68,0.62,1.0,0.93
ftm.csv,0.25,0.14,0.1,0.15,0.27,0.08,0.05,0.1,0.19,0.08,0.15,0.5,0.11,0.06,0.35,0.07
gzigzag.csv,0.13,0.36,0.1,0.3,0.29,0.0,0.54,0.72,0.13,0.12,0.22,0.16,0.32,0.59,0.65,0.22
img-browse-sort.csv,0.44,0.41,0.48,0.4,0.58,0.16,0.16,0.53,0.66,0.34,0.55,0.26,0.47,0.37,0.56,0.17
jcache.csv,0.79,0.77,0.55,0.56,0.75,1.0,0.57,0.35,0.78,0.52,0.78,0.68,0.84,0.45,0.25,0.17
jguard.csv,0.0,0.64,0.31,0.61,0.46,0.2,0.36,0.72,0.29,0.93,0.51,0.66,0.79,0.38,0.96,0.12
ppcboot.csv,0.97,0.95,0.76,0.89,0.75,1.0,0.93,1.0,0.96,0.26,1.0,0.82,1.0,0.63,0.99,1.0
qdvdauthor.csv,0.93,0.55,0.98,0.37,0.37,0.0,0.21,0.42,0.35,0.96,0.33,0.16,0.26,0.34,0.38,0.93
reactos-mirror.csv,0.28,0.64,0.9,0.6,0.34,0.0,0.25,0.48,0.48,1.0,0.56,0.42,0.53,0.37,0.17,0.12
unbvision.csv,0.59,0.55,0.24,0.48,0.12,0.04,0.2,0.35,0.28,0.48,0.27,0.24,0.32,0.46,0.07,0.17
