,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.91,0.67,0.95,1.0,0.96,0.87,0.71,1.0,0.92,0.65,0.83,0.65,0.69,0.85,0.74
glelite.csv,1.0,0.93,0.88,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0
hannosset.csv,0.09,0.04,0.07,0.0,0.06,0.0,0.04,0.0,0.08,0.03,1.0,0.02,0.03,0.02,0.05
ipfilter.csv,0.73,0.52,0.49,0.67,0.75,0.83,0.5,1.0,0.72,0.71,0.5,1.0,0.7,0.71,0.89
moving-pictures.csv,0.82,0.78,0.63,0.67,0.44,0.78,0.96,0.0,0.49,0.72,1.0,0.37,0.74,0.8,0.68
pclasses.csv,0.91,0.44,0.0,1.0,0.27,0.3,0.11,0.0,0.24,0.42,0.33,0.17,0.07,0.17,0.42
pfaedit.csv,0.18,0.41,0.1,0.33,0.62,0.96,0.25,0.0,0.45,0.22,0.83,0.22,0.2,0.46,0.26
qcad2.csv,0.09,0.44,0.61,0.33,0.96,0.67,0.29,0.0,0.31,0.12,0.33,0.67,0.71,0.41,0.16
rockbox.csv,0.45,0.59,0.54,0.0,0.67,0.74,0.57,1.0,0.55,0.37,1.0,0.41,0.32,0.63,1.0
roller.csv,0.18,0.19,0.85,1.0,0.85,0.17,0.79,1.0,1.0,0.28,0.67,0.63,0.23,0.51,0.16
theresa.csv,0.0,0.04,0.0,1.0,0.04,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.05,0.0
tzod.csv,0.36,0.96,0.27,1.0,0.56,0.35,0.21,0.0,0.17,0.11,0.5,0.24,0.45,0.51,0.05
xinity.csv,0.18,0.19,0.39,0.67,0.73,0.61,0.14,0.0,0.43,0.14,0.83,0.46,0.33,1.0,0.05
zabbix.csv,0.73,0.89,0.78,1.0,0.83,1.0,0.71,0.0,0.87,0.98,1.0,0.78,0.61,0.93,0.63
