,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.54,0.86,0.76,0.39,0.5,1.0,0.0,1.0,0.9,0.7,1.0,0.85,0.23,0.78,0.83
badtrinity-zero.csv,0.65,0.71,0.99,0.5,0.39,0.08,0.09,0.78,0.75,1.0,0.71,0.81,0.14,0.68,0.71
biodwh.csv,0.68,0.67,0.75,0.44,0.33,0.04,0.33,0.85,1.0,1.0,1.0,0.89,1.0,0.67,0.7
critterding.csv,0.53,1.0,0.4,0.3,0.22,0.09,0.08,0.76,0.89,0.88,0.92,1.0,0.33,0.74,0.71
elateportal.csv,0.4,0.36,0.53,0.35,0.37,0.09,0.05,0.69,0.68,0.93,1.0,0.76,0.1,0.14,0.65
enzo.csv,0.38,0.43,0.51,0.38,0.35,0.09,0.05,0.79,0.68,0.97,0.88,0.69,0.15,0.6,0.71
factor.csv,0.0,0.5,0.8,0.56,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.0,1.0,1.0,0.63
gusanos.csv,0.43,0.48,0.59,0.38,0.38,0.1,0.1,0.98,0.86,0.54,0.73,0.83,0.13,0.73,0.7
miranda.csv,0.51,0.58,0.62,0.5,0.35,0.08,0.07,0.81,0.64,0.78,0.75,0.8,0.18,0.2,1.0
modplug.csv,0.44,0.52,0.52,0.4,0.36,0.12,0.06,0.84,1.0,0.76,0.89,0.86,0.19,0.78,0.69
monetdb.csv,0.39,0.52,0.52,0.31,1.0,0.08,0.09,0.72,0.85,0.57,0.94,0.84,0.17,0.82,0.7
quarkplayer.csv,0.34,0.41,0.47,0.2,0.23,0.06,1.0,0.67,0.63,0.79,0.91,0.54,0.14,0.53,0.62
reactos-mirror.csv,0.95,0.46,0.52,0.32,0.47,0.08,0.08,0.7,0.8,0.72,0.88,0.73,0.18,0.62,0.64
sandiaportals.csv,0.45,0.5,0.59,0.38,0.42,0.1,0.07,0.69,0.79,0.85,0.92,1.0,0.15,0.65,0.69
xbplayer.csv,0.51,0.46,0.67,1.0,0.5,0.11,0.02,0.96,0.72,1.0,1.0,0.94,0.16,0.88,0.77
