,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.88,0.82,0.84,0.74,0.87,0.08,1.0,0.87,0.84,0.9,0.98,0.7,0.63,0.83,0.74
badtrinity-zero.csv,0.96,0.85,0.03,0.93,0.6,0.73,0.69,0.9,0.61,0.85,0.95,0.58,0.72,0.66,0.66
biodwh.csv,0.82,0.83,0.81,0.54,0.92,0.93,0.73,0.84,0.85,0.85,0.95,0.85,0.0,0.95,0.64
critterding.csv,0.79,0.06,0.85,0.74,0.86,0.67,0.64,0.65,0.7,0.64,0.55,0.64,0.4,0.69,0.62
elateportal.csv,0.72,0.86,0.66,0.79,0.7,0.77,0.9,0.71,0.81,0.86,0.0,0.84,0.9,1.01,0.91
enzo.csv,0.84,0.76,0.82,0.61,0.85,0.77,0.85,0.53,1.0,0.12,1.0,0.99,0.89,0.91,0.68
factor.csv,1.0,0.91,0.95,0.57,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.77,0.83,0.02,0.8
gusanos.csv,0.89,0.72,0.56,0.65,0.62,0.6,0.54,0.05,0.59,0.96,0.96,0.82,0.75,0.58,0.66
miranda.csv,0.62,0.7,0.59,0.59,0.72,0.7,0.73,0.71,0.81,0.78,0.95,0.61,0.67,0.99,0.01
modplug.csv,0.69,0.63,0.73,0.58,0.73,0.54,0.83,0.43,0.02,0.81,0.84,0.42,0.64,0.46,0.77
monetdb.csv,0.73,0.63,0.68,0.72,0.02,0.79,0.59,0.7,0.61,1.05,0.45,0.58,0.68,0.41,0.65
quarkplayer.csv,0.82,0.77,0.74,0.89,0.85,0.81,0.18,0.76,0.84,0.73,0.68,0.99,0.75,0.86,0.85
reactos-mirror.csv,0.1,0.72,0.71,0.77,0.55,0.68,0.78,0.79,0.51,0.85,1.0,0.91,0.7,0.79,0.86
sandiaportals.csv,0.7,0.69,0.57,0.72,0.58,0.76,0.74,0.94,0.52,0.58,0.56,0.02,0.7,0.7,0.82
xbplayer.csv,0.71,0.73,0.78,0.05,0.7,0.77,0.97,0.64,0.7,0.93,0.95,0.68,0.69,0.66,0.59
