,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.61,0.54,0.48,0.79,0.63,0.36
l2j.csv,0.63,0.45,0.36,0.51,0.38,0.75
mule.csv,0.67,0.19,0.26,0.4,0.45,0.23
springside.csv,0.63,0.76,0.44,0.78,0.69,0.47
swtfox.csv,0.43,0.47,0.53,0.18,0.43,0.39
twostep.csv,0.69,0.71,0.55,0.87,0.67,0.52
