,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,3.0,2.0,1.0,8.0,4.0,4.0,74.0,1.0,4.0,62.0
flylegacy.csv,8.0,2.0,1.0,0.0,1.0,2.0,10.0,0.0,4.0,4.0
jguard.csv,2.0,6.0,0.0,1.0,1.0,1.0,17.0,1.0,4.0,0.0
m-a-d-n-e-s-s.csv,2.0,0.0,0.0,19.0,2.0,85.0,74.0,0.0,0.0,2.0
mob-sen-plat.csv,1.0,0.0,1.0,32.0,1.0,5.0,5.0,0.0,10.0,0.0
raygina.csv,0.0,2.0,2.0,0.0,5.0,12.0,3.0,1.0,10.0,1.0
st-filteredstatistics.csv,1.0,0.0,2.0,17.0,2.0,3.0,15.0,0.0,3.0,2.0
upp-mirror.csv,7.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0
wishmaster.csv,2.0,0.0,2.0,22.0,0.0,8.0,2.0,2.0,2.0,0.0
yarp.csv,1.0,52.0,2.0,1.0,0.0,1.0,10.0,0.0,2.0,1.0
