,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.5,0.6,0.71,0.3,0.4,0.38,0.0,0.5,0.33,0.0
flylegacy.csv,0.4,0.81,0.83,0.19,0.66,0.34,0.18,0.79,0.34,0.33
jguard.csv,0.39,0.5,0.72,0.16,0.59,0.54,0.15,0.81,0.27,0.33
m-a-d-n-e-s-s.csv,0.71,1.0,0.76,0.23,0.5,0.0,0.0,1.0,0.73,0.25
mob-sen-plat.csv,0.38,0.86,0.74,0.15,0.62,0.38,0.18,0.87,0.42,0.55
raygina.csv,0.62,0.4,0.73,0.16,0.6,0.29,0.16,0.91,0.3,0.43
st-filteredstatistics.csv,0.38,0.82,0.72,0.16,0.66,0.39,0.19,0.97,0.32,0.42
upp-mirror.csv,0.36,0.67,0.78,0.24,0.75,0.48,0.19,0.71,0.42,0.4
wishmaster.csv,0.27,0.5,0.73,0.18,0.67,0.25,0.35,0.5,0.5,0.43
yarp.csv,0.5,0.0,0.73,0.13,0.5,0.27,0.06,0.71,0.27,0.52
