,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.42,0.67,0.34,0.22,0.46,0.56,0.47,0.78,0.2,0.52
bscwweasel.csv,0.17,0.11,0.2,0.0,0.54,0.2,0.12,0.01,0.2,0.19
cme.csv,0.03,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
fido.csv,0.27,0.0,0.0,0.04,0.0,0.12,0.07,0.12,0.0,0.0
japano.csv,0.77,0.22,0.78,0.85,0.98,0.72,0.5,1.0,0.9,0.35
joustsim.csv,0.53,0.67,0.33,0.41,0.85,0.48,0.08,0.59,0.1,0.6
log4net.csv,0.2,0.0,0.11,0.22,0.07,0.12,0.28,0.15,0.7,0.29
personalaccess.csv,0.13,0.56,0.27,0.11,0.26,0.28,0.15,0.75,0.3,0.42
rcp-company-uibindings.csv,0.25,0.22,0.4,0.11,0.74,0.28,0.25,0.22,0.0,0.42
unbvision.csv,0.15,0.56,0.28,0.33,0.27,0.28,0.32,0.22,0.5,0.92
