,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.0,0.24,0.0,0.36,0.26,0.63,0.62
kftpgrabber.csv,0.31,0.57,1.0,0.62,1.0,0.15,0.67
kindb.csv,0.49,0.59,0.93,0.49,1.0,0.31,0.71
m-a-d-n-e-s-s.csv,0.48,0.63,0.9,0.57,0.44,0.3,0.67
netatalk.csv,0.23,0.44,0.69,0.36,0.45,0.23,0.76
quickfast.csv,0.2,0.3,0.84,0.4,0.33,0.27,0.83
wow-qrsk.csv,0.43,0.38,0.0,0.53,0.32,0.18,1.0
