,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.25,0.12,0.0,0.14,0.16,0.25,0.47,0.2,0.0,0.36,0.46,1.0,0.24
bacula.csv,0.62,0.62,0.44,0.61,0.55,0.55,0.61,0.45,0.99,0.61,0.39,0.43,0.67
elmo.csv,0.04,0.16,1.0,0.02,0.12,0.0,0.1,0.13,0.14,0.07,0.11,0.13,0.07
jajuk.csv,0.7,0.46,0.59,0.64,0.96,0.64,0.32,0.49,0.49,0.62,0.54,0.37,0.69
ktc.csv,0.96,0.2,0.24,0.46,0.54,0.65,0.36,0.26,0.39,0.54,0.61,0.29,0.44
neoengine.csv,0.56,0.63,0.13,0.98,0.65,0.44,0.5,0.0,0.59,0.64,0.49,0.42,0.52
omseek.csv,0.2,0.21,0.44,0.19,0.22,0.16,0.14,0.05,0.16,0.2,0.21,0.02,0.93
pcgen.csv,0.25,0.21,0.0,0.26,0.36,0.4,0.28,0.18,0.11,0.39,0.96,0.55,0.4
rosegarden.csv,0.59,0.42,0.6,0.5,0.45,0.53,0.46,0.38,0.47,0.98,0.5,0.39,0.6
selenium.csv,0.5,0.97,0.75,0.65,0.66,0.71,0.19,0.42,0.55,0.56,0.42,0.37,0.65
vapor.csv,0.34,0.4,0.0,0.17,0.38,0.11,0.87,0.05,0.18,0.13,0.38,0.34,0.35
zorannt.csv,0.16,0.39,0.44,0.27,0.39,0.93,0.39,0.36,0.43,0.2,0.28,0.46,0.28
zscreen.csv,0.63,0.69,0.62,0.57,0.66,0.59,0.68,0.98,0.5,0.55,0.77,0.46,0.66
