,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.51,0.26,0.0,0.28,0.55,0.48,0.32,0.22,0.0,0.41,0.48,0.0,0.37
bacula.csv,0.48,0.37,0.33,0.36,0.43,0.32,0.34,0.22,0.02,0.44,0.2,0.84,0.34
elmo.csv,0.07,0.09,0.01,0.08,0.12,0.05,0.06,0.0,0.18,0.18,0.28,0.11,0.13
jajuk.csv,0.31,0.24,0.45,0.42,0.01,0.23,0.35,0.33,0.31,0.21,0.26,0.41,0.34
ktc.csv,0.01,0.07,0.19,0.16,0.12,0.11,0.21,0.04,0.22,0.1,0.33,0.28,0.19
neoengine.csv,0.74,0.31,0.97,0.02,0.58,0.17,0.79,1.0,0.69,0.45,0.81,0.42,0.8
omseek.csv,0.07,0.07,0.24,0.04,0.03,0.09,0.15,0.04,0.08,0.04,0.25,0.11,0.0
pcgen.csv,0.06,0.2,0.07,0.12,0.14,0.15,0.18,0.15,0.1,0.12,0.01,0.56,0.28
rosegarden.csv,0.09,0.15,0.39,0.27,0.14,0.12,0.45,0.41,0.35,0.01,0.31,0.4,0.44
selenium.csv,0.19,0.04,0.39,0.27,0.14,0.39,0.23,0.07,0.31,0.18,0.2,0.44,0.31
vapor.csv,0.1,0.59,0.01,0.17,0.49,0.04,0.01,0.04,0.06,0.08,0.46,0.21,0.09
zorannt.csv,0.09,0.87,0.28,0.05,0.08,0.0,0.44,0.41,0.51,0.08,0.07,0.37,0.14
zscreen.csv,0.39,0.41,0.31,0.29,0.4,0.58,0.45,0.0,0.22,0.44,0.51,0.82,0.47
