,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,4.0,0.0,71.0,0.0,3.0,23.0,4.0,0.0,147.0,4.0,1.0,0.0,44.0
bacula.csv,11.0,0.0,7.0,2.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,22.0,14.0
elmo.csv,4.0,1.0,1.0,1.0,3.0,158.0,3.0,0.0,1.0,22.0,3.0,11.0,22.0
jajuk.csv,10.0,4.0,10.0,3.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,3.0,11.0
ktc.csv,0.0,0.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,21.0
neoengine.csv,5.0,0.0,8.0,0.0,3.0,6.0,4.0,0.0,2.0,14.0,4.0,0.0,91.0
omseek.csv,0.0,1.0,4.0,0.0,1.0,7.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0
pcgen.csv,2.0,0.0,71.0,5.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,9.0,10.0
rosegarden.csv,3.0,0.0,6.0,2.0,3.0,5.0,3.0,0.0,2.0,0.0,3.0,11.0,58.0
selenium.csv,5.0,0.0,2.0,2.0,0.0,6.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0
vapor.csv,9.0,0.0,71.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,2.0,11.0
zorannt.csv,5.0,0.0,12.0,0.0,1.0,0.0,4.0,0.0,4.0,14.0,2.0,7.0,13.0
zscreen.csv,9.0,0.0,3.0,4.0,4.0,8.0,1.0,0.0,2.0,3.0,2.0,7.0,36.0
