,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,69.0,52.0,1.0,0.0,27.0,0.0,0.0,0.0,5.0,15.0
atlc.csv,0.0,34.0,7.0,0.0,35.0,1.0,32.0,3.0,6.0,3.0
ipfilter.csv,0.0,41.0,0.0,1.0,37.0,13.0,3.0,0.0,27.0,8.0
jmol.csv,0.0,27.0,0.0,0.0,30.0,28.0,1.0,0.0,11.0,7.0
pfaedit.csv,0.0,23.0,0.0,2.0,4.0,5.0,8.0,0.0,6.0,1.0
rockbox.csv,2.0,52.0,3.0,2.0,44.0,10.0,25.0,0.0,1.0,0.0
snakeyaml.csv,0.0,28.0,1.0,1.0,0.0,16.0,2.0,0.0,13.0,14.0
theresa.csv,69.0,0.0,88.0,123.0,0.0,161.0,82.0,64.0,223.0,50.0
trinitycore.csv,69.0,8.0,0.0,1.0,59.0,2.0,82.0,0.0,0.0,1.0
wxcode.csv,69.0,52.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
