,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.5,0.61,0.27,0.91,0.53,0.47,0.35,0.54
atlc.csv,0.99,0.1,0.75,0.81,0.27,0.37,0.2,0.64,0.46,0.57
ipfilter.csv,0.51,0.04,0.71,0.76,0.19,0.3,0.1,1.0,0.39,0.55
jmol.csv,0.74,0.12,0.7,1.0,0.25,0.38,0.18,0.69,0.37,0.41
pfaedit.csv,0.53,0.07,0.99,0.63,0.38,0.39,0.26,0.68,0.34,0.31
rockbox.csv,0.63,0.0,0.71,0.75,0.16,0.33,0.2,0.62,0.4,1.0
snakeyaml.csv,0.73,0.06,0.34,0.32,0.98,0.2,0.15,0.65,0.33,0.47
theresa.csv,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.0,0.31,0.54,0.59,0.19,0.26,0.0,0.5,0.92,0.31
wxcode.csv,0.0,0.0,0.11,0.09,0.06,0.16,1.0,0.04,0.27,0.19
