,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.0,0.77,0.81,0.19,0.96,0.42,1.0,0.4,0.37
atlc.csv,1.0,0.05,0.68,0.81,0.16,0.25,0.12,0.69,0.33,0.52
ipfilter.csv,0.47,0.02,0.62,0.8,0.12,0.19,0.05,1.0,0.25,0.42
jmol.csv,0.59,0.07,0.61,1.0,0.16,0.25,0.1,0.67,0.26,0.4
pfaedit.csv,0.84,0.04,1.0,0.85,0.25,0.3,0.19,0.78,0.25,0.57
rockbox.csv,0.76,0.0,0.74,0.81,0.1,0.24,0.12,0.82,0.29,1.0
snakeyaml.csv,0.58,0.03,0.43,0.8,1.0,0.13,0.08,0.62,0.23,0.34
theresa.csv,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.0,0.2,0.81,0.82,0.12,0.26,0.0,0.89,1.0,0.38
wxcode.csv,0.0,0.0,1.0,1.0,0.25,0.43,1.0,1.0,0.53,1.0
