,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
40,4,5,3,5,3,1,7,8,ngl.csv
47,5,0,4,6,1,2,8,8,mplayer-ce.csv
17,6,2,4,5,3,3,6,6,arcallians.csv
12,7,6,6,7,7,5,13,16,vars-redux.csv
23,8,2,2,4,4,6,12,12,ng4j.csv
20,10,1,2,2,2,2,1,2,pfaedit.csv
11,11,2,4,7,2,2,4,8,dvd-create.csv
42,12,6,9,16,6,2,12,18,knowledge.csv
46,13,8,10,14,6,5,5,14,openmalaria.csv
48,14,3,3,4,3,2,0,3,google-caja.csv
41,15,7,8,7,10,9,6,16,autowikibrowser.csv
14,16,4,3,3,8,12,13,14,riff-evolve.csv
19,17,3,5,6,6,13,18,16,acdk.csv
9,18,2,1,1,5,9,8,10,grafx2.csv
21,19,5,8,11,4,5,14,14,nativeclient.csv
24,21,4,5,8,4,1,5,6,decidr.csv
49,22,2,2,3,1,1,2,2,rectracker.csv
39,23,4,5,7,4,3,7,11,gogoego.csv
38,24,7,4,8,8,3,10,15,springside.csv
50,25,2,3,9,4,7,16,19,opendvr.csv
22,26,2,3,5,3,6,18,17,trinitycore.csv
10,27,2,2,5,3,7,12,11,voms.csv
18,28,0,0,2,0,0,3,3,dataobjectsdotnet.csv
13,29,5,2,6,6,5,8,11,mobicents.csv
31,30,9,4,14,7,2,6,14,kolmafia.csv
28,31,2,2,2,4,5,5,4,zildo.csv
2,32,5,7,10,4,5,13,16,xcf.csv
8,33,1,1,2,3,3,7,5,smartgwt.csv
7,34,0,2,4,2,6,7,8,tolven.csv
3,35,2,2,3,2,4,6,9,jgnash.csv
27,36,5,2,8,7,5,5,13,carabiner.csv
32,39,4,5,7,5,8,15,16,sabbu.csv
44,40,1,5,8,1,8,10,16,gusanos.csv
36,41,3,8,11,7,5,14,16,zxing.csv
15,42,2,1,10,5,4,8,19,anaxagora.csv
26,43,1,3,7,2,8,8,13,chrysalis.csv
25,44,3,2,2,5,5,7,8,autofac.csv
16,45,2,4,4,4,9,12,12,gabel.csv
35,46,4,10,12,5,6,7,17,heekscad.csv
45,47,2,2,5,2,3,7,7,mycila.csv
37,48,6,10,11,5,7,14,16,phonon-vlc-mplayer.csv
43,49,2,4,4,2,6,7,9,xbplayer.csv
0,50,2,1,5,2,2,3,5,atomsite.csv
5,51,2,2,10,3,1,11,14,freelords.csv
33,52,4,6,9,4,6,12,13,jitterbit.csv
30,53,0,2,4,1,2,2,8,columba.csv
29,54,2,3,3,4,5,9,9,firebreath.csv
34,55,0,1,2,1,4,8,7,brlcad.csv
4,56,0,2,3,0,6,6,6,geogebra.csv
1,57,4,4,8,4,6,11,12,qtractor.csv
6,58,4,7,14,3,2,4,12,kaffeine.csv
