,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.6,0.7,0.68,0.61
ngl.csv,0.66,0.43,0.65,0.5
qmmp.csv,0.55,0.6,0.61,0.67
quarkplusplus.csv,0.59,0.67,0.66,0.65
