,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.46,0.44,0.42,0.41
ngl.csv,0.61,0.44,0.48,0.45
qmmp.csv,0.54,0.56,0.53,0.56
quarkplusplus.csv,0.5,0.45,0.48,0.42
