,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.56,0.71,0.69,0.63
ngl.csv,0.6,0.66,0.67,0.64
qmmp.csv,0.52,0.61,0.63,0.7
quarkplusplus.csv,0.56,0.68,0.67,0.64
