,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,0.11,0.89,0.03,0.56
columba.csv,0.07,0.63,0.0,0.5
emftriple.csv,0.11,0.38,0.34,0.35
gpsmid.csv,0.05,0.84,0.07,0.41
