,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,0.24,0.05,0.44,0.21
columba.csv,0.42,0.68,0.47,0.28
emftriple.csv,0.03,0.34,0.15,0.17
gpsmid.csv,0.6,0.18,0.64,0.41
