,atunes.csv,gpsmid.csv,emftriple.csv,columba.csv
atunes.csv,0.33,0.68,0.93,0.42
columba.csv,0.44,0.69,1.11,0.44
emftriple.csv,0.91,0.9,0.15,0.79
gpsmid.csv,0.63,0.32,0.74,0.52
