,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,12.5,160.5,40.5,240.5,93.5,142.5,215.5,97.5,63.5,0.0
coot.csv,94.5,1574.0,98.5,302.5,2054.5,98.5,98.5,97.5,76.0,97.5
haggle.csv,12.5,98.5,98.5,383.5,194.0,192.0,704.5,97.5,763.0,97.5
ibatisdb.csv,164.0,98.5,98.5,586.5,422.5,99.0,197.5,183.0,197.5,97.5
jas.csv,523.5,289.0,95.5,454.0,291.5,99.0,98.5,97.5,99.0,95.5
mesa3d.csv,94.5,98.5,98.5,816.0,386.0,99.0,197.0,366.0,290.5,97.5
ngl.csv,97.5,98.5,98.5,869.5,486.5,98.5,196.0,97.5,375.0,97.5
pustefix.csv,15.5,677.5,95.5,855.5,288.5,98.5,197.0,97.5,99.0,97.5
scenemonitor.csv,94.5,98.5,98.5,51.5,638.0,99.0,79.0,97.5,580.0,278.5
wsmt.csv,97.5,141.0,176.5,197.5,193.0,99.0,98.5,97.5,307.5,250.0
