,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.17,0.0,0.13,0.75,0.1,0.02,0.0,0.33,0.1,0.0
coot.csv,0.48,0.18,0.66,0.0,0.28,0.58,0.06,0.64,0.0,0.73
haggle.csv,0.17,0.45,0.68,0.0,0.33,0.14,0.0,0.54,0.35,0.51
ibatisdb.csv,0.25,0.4,0.29,0.0,0.71,0.35,0.0,0.27,0.37,0.57
jas.csv,0.23,0.43,0.51,0.22,0.12,0.62,0.46,0.69,0.34,0.41
mesa3d.csv,0.56,0.45,0.63,0.23,0.33,0.69,0.06,0.31,0.44,0.66
ngl.csv,0.55,0.41,0.79,0.18,0.25,0.65,0.14,0.71,0.25,0.71
pustefix.csv,0.17,0.42,0.5,0.06,0.12,0.52,0.1,0.46,0.41,0.61
scenemonitor.csv,0.75,0.31,0.35,0.0,0.14,0.38,0.0,0.35,0.17,0.18
wsmt.csv,0.55,0.18,0.1,0.0,0.13,0.27,0.11,0.81,0.03,0.12
