,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.47,0.22,0.66,0.91,0.31,0.64,0.58,0.5,0.47,0.85,0.38,0.48,0.46,0.49,0.35
bibletime.csv,0.69,0.72,0.37,0.58,0.63,0.52,0.43,0.56,0.49,0.27,1.0,0.56,0.64,0.55,0.6
boost.csv,0.62,0.57,0.69,0.55,0.98,0.68,0.46,0.59,0.52,0.65,0.61,0.56,0.66,0.51,0.48
doomlegacy.csv,0.7,0.6,0.53,0.61,0.48,0.71,0.75,0.5,0.98,0.56,0.61,0.57,0.66,0.52,0.52
gpac.csv,0.5,0.31,0.96,0.4,0.52,0.58,0.5,0.39,0.54,0.66,0.67,0.52,0.62,0.7,0.41
kftpgrabber.csv,0.48,0.47,0.42,0.39,0.52,1.0,0.47,0.14,0.32,0.36,0.45,0.56,0.38,0.23,0.46
nativeclient.csv,0.66,0.73,0.61,0.56,0.55,0.68,0.71,0.32,0.56,0.7,0.6,0.71,0.65,0.55,0.97
netatalk.csv,0.61,0.47,0.44,0.46,0.39,0.63,1.0,0.29,0.43,0.36,0.43,0.44,0.55,0.35,0.31
open-ms.csv,0.49,0.42,0.13,0.27,0.21,0.31,0.25,0.45,0.48,0.67,0.36,0.98,0.34,0.28,0.06
openmsx.csv,0.5,0.45,0.58,0.59,0.55,0.55,0.51,0.93,0.39,0.25,0.54,0.48,0.48,0.27,0.4
rosegarden.csv,0.98,0.47,0.46,0.45,0.45,0.48,0.34,0.32,0.49,0.64,0.44,0.51,0.6,0.34,0.38
rsyslog.csv,0.55,0.93,0.41,0.54,0.45,0.73,0.64,0.41,0.44,0.37,0.52,0.54,0.61,0.62,0.64
sandiaportals.csv,0.69,0.76,0.58,0.4,0.24,0.73,0.67,0.54,0.46,0.33,0.55,0.64,0.72,0.95,0.66
xmoto.csv,0.65,0.49,0.55,0.65,0.62,0.73,0.68,0.35,0.48,0.63,0.42,0.58,0.93,0.6,0.52
xqilla.csv,0.13,0.0,0.06,0.04,0.01,0.0,0.17,0.0,0.05,1.0,0.0,0.05,0.07,0.0,0.01
