,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.44,0.19,0.66,0.89,0.3,0.63,0.57,0.51,0.45,1.0,0.36,0.46,0.42,0.47,0.31
bibletime.csv,0.83,0.73,0.93,0.66,0.79,0.9,1.0,0.6,0.49,1.0,1.0,0.87,0.72,0.51,0.86
boost.csv,0.6,0.62,0.79,0.58,0.97,0.73,0.43,0.62,0.68,1.0,0.65,0.57,0.64,0.55,0.44
doomlegacy.csv,0.8,0.58,0.79,0.68,0.45,0.8,0.79,0.52,0.98,0.67,0.58,0.62,0.67,0.49,0.49
gpac.csv,0.47,0.27,0.95,0.39,0.51,0.6,0.5,0.35,0.54,0.67,0.64,0.51,0.61,0.7,0.36
kftpgrabber.csv,0.43,0.42,0.38,0.34,0.72,1.0,0.43,0.12,0.28,0.33,0.53,0.53,0.33,0.19,0.79
nativeclient.csv,0.68,0.77,0.7,0.61,0.52,0.7,0.86,0.28,0.56,1.0,0.56,0.78,0.67,0.51,0.97
netatalk.csv,0.57,0.42,0.43,0.42,0.35,0.6,1.0,0.25,0.38,0.33,0.39,0.39,0.5,0.3,0.27
open-ms.csv,0.47,0.5,0.11,0.24,0.18,0.27,0.21,0.46,0.48,0.67,0.36,0.98,0.31,0.26,0.05
openmsx.csv,0.64,0.62,0.75,0.68,0.62,0.53,0.5,0.92,0.36,0.67,0.61,0.53,0.5,0.23,0.73
rosegarden.csv,0.98,0.42,0.41,0.42,0.4,0.43,0.29,0.28,0.45,0.67,0.39,0.48,0.56,0.3,0.34
rsyslog.csv,0.52,0.92,0.38,0.66,0.4,0.73,0.64,0.37,0.41,0.33,0.5,0.52,0.61,0.57,0.65
sandiaportals.csv,0.79,0.85,0.8,0.95,0.95,0.87,0.79,0.55,0.44,1.0,0.92,0.71,0.78,0.94,0.66
xmoto.csv,0.63,0.73,0.91,0.79,0.65,0.73,0.71,0.31,0.44,0.67,0.38,0.58,0.92,0.58,0.71
xqilla.csv,0.11,0.0,0.05,0.03,0.01,0.0,0.14,0.0,0.04,1.0,0.0,0.04,0.06,0.0,0.01
