,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.45,0.51,0.51,0.59,0.65,0.51,0.61,0.58,0.6,0.9,0.71,0.69
gdis.csv,0.69,0.69,0.44,0.67,0.51,0.6,0.73,0.63,0.16,1.05,0.81,0.77
kml.csv,0.51,0.99,0.83,0.59,0.34,0.86,0.9,0.93,0.44,0.97,0.92,1.0
ppcboot.csv,0.96,0.78,0.94,0.49,0.97,0.95,0.81,0.95,1.0,1.0,1.0,1.0
repositorium.csv,0.96,0.98,0.99,0.98,0.96,0.35,0.98,0.87,0.88,0.72,0.73,0.93
rsyslog.csv,0.29,0.87,0.46,0.72,0.64,0.83,0.65,0.57,0.51,0.99,0.61,1.0
simplewebservices.csv,1.0,0.8,0.98,0.99,0.9,1.03,0.99,0.79,0.93,0.98,0.82,0.5
ultimairis.csv,0.59,0.9,0.48,0.89,1.0,0.64,0.41,0.7,1.0,1.05,0.82,0.65
wow-qrsk.csv,0.92,0.59,0.29,0.64,0.78,1.0,0.98,0.88,0.86,0.7,0.97,0.76
wxstudio.csv,0.84,0.83,1.04,0.91,0.87,0.75,0.96,0.8,0.85,1.01,0.41,0.93
xbg.csv,0.72,0.98,0.94,0.61,0.84,0.91,0.66,0.32,0.91,1.18,0.91,0.83
xqilla.csv,0.96,1.0,0.84,0.89,0.94,0.91,0.92,0.84,0.88,0.06,0.74,0.87
