,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.54,0.58,0.63,0.86,0.82,0.73,0.59,0.42,0.62,0.43,0.59,0.42
gdis.csv,0.54,0.45,0.8,0.98,0.51,0.68,0.8,0.6,0.35,0.78,0.57,0.43
kml.csv,0.54,0.35,0.42,0.67,0.42,0.44,0.4,0.42,0.37,0.39,0.47,0.35
ppcboot.csv,0.53,0.37,0.43,0.85,0.35,0.44,0.45,0.38,0.37,0.39,0.48,0.35
repositorium.csv,0.0,0.9,0.99,0.5,0.89,0.59,0.96,0.51,0.88,0.38,0.8,0.45
rsyslog.csv,0.46,0.38,0.48,0.5,0.73,0.39,0.5,0.68,0.3,0.39,0.38,0.35
simplewebservices.csv,0.52,0.37,0.42,0.58,0.43,0.43,0.4,0.73,0.39,0.39,0.47,0.44
ultimairis.csv,0.5,0.34,0.45,0.57,0.36,0.9,0.63,0.4,0.35,0.92,0.51,0.41
wow-qrsk.csv,0.5,0.54,0.6,0.92,0.88,0.0,0.67,0.67,0.89,0.38,0.0,0.83
wxstudio.csv,0.62,0.54,0.51,0.61,0.58,0.47,0.46,0.78,0.41,0.95,0.46,0.93
xbg.csv,0.94,0.83,0.98,0.89,0.96,0.5,0.97,0.61,0.92,0.64,0.96,0.63
xqilla.csv,0.0,0.85,0.6,0.76,0.91,0.43,0.66,0.74,0.71,0.9,0.71,0.97
