,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.68,0.5,0.44,0.54,0.49,0.32,0.45,0.3,0.57,0.03,0.41,0.55
gdis.csv,0.67,0.46,0.55,0.46,0.65,0.24,0.34,0.24,0.91,0.0,0.42,0.53
kml.csv,0.65,0.43,0.35,0.56,0.75,0.18,0.48,0.24,0.78,0.05,0.54,0.59
ppcboot.csv,0.69,0.5,0.33,0.65,0.65,0.2,0.51,0.24,0.88,0.05,0.59,0.59
repositorium.csv,0.07,0.04,0.02,0.03,0.09,0.42,0.05,0.16,0.22,0.07,0.44,0.46
rsyslog.csv,0.81,0.44,0.45,0.53,0.48,0.24,0.41,0.3,0.76,0.05,0.52,0.59
simplewebservices.csv,0.68,0.42,0.32,0.68,0.53,0.15,0.45,0.17,0.83,0.05,0.65,0.61
ultimairis.csv,0.75,0.46,0.44,0.68,0.65,0.38,0.61,0.26,0.89,0.0,0.38,0.56
wow-qrsk.csv,0.14,0.43,0.58,0.5,0.36,0.0,0.04,0.18,0.24,0.07,0.05,0.35
wxstudio.csv,0.53,0.24,0.15,0.51,0.36,0.2,0.33,0.15,0.7,0.0,0.68,0.12
xbg.csv,0.43,0.04,0.1,0.63,0.3,0.15,0.41,0.45,0.23,0.0,0.2,0.34
xqilla.csv,0.07,0.05,0.18,0.2,0.13,0.11,0.15,0.13,0.32,0.46,0.37,0.22
