,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,1.0,1.0,6.0,0.0,1.0,4.0,2.0,2.0,0.0,65.0,2.0,1.0
gdis.csv,2.0,7.0,11.0,0.0,5.0,3.0,3.0,11.0,0.0,119.0,0.0,1.0
kml.csv,1.0,7.0,49.0,0.0,2.0,22.0,0.0,15.0,1.0,58.0,0.0,0.0
ppcboot.csv,4.0,5.0,66.0,0.0,2.0,3.0,1.0,13.0,0.0,60.0,0.0,0.0
repositorium.csv,0.0,3.0,43.0,0.0,2.0,2.0,8.0,11.0,1.0,34.0,0.0,0.0
rsyslog.csv,0.0,7.0,26.0,1.0,2.0,2.0,0.0,3.0,0.0,59.0,0.0,0.0
simplewebservices.csv,4.0,4.0,69.0,0.0,3.0,3.0,1.0,2.0,0.0,59.0,0.0,1.0
ultimairis.csv,1.0,3.0,9.0,0.0,3.0,2.0,0.0,5.0,0.0,119.0,7.0,0.0
wow-qrsk.csv,0.0,0.0,16.0,0.0,0.0,96.0,2.0,1.0,0.0,39.0,0.0,0.0
wxstudio.csv,10.0,7.0,63.0,0.0,2.0,2.0,1.0,8.0,0.0,119.0,1.0,0.0
xbg.csv,0.0,4.0,4.0,0.0,2.0,1.0,1.0,5.0,0.0,119.0,0.0,0.0
xqilla.csv,0.0,18.0,17.0,4.0,7.0,31.0,0.0,10.0,0.0,1.0,0.0,3.0
