,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.29,0.28,0.21,0.2,0.1,0.23,0.41,0.56,0.08,0.61,0.29,0.62
gdis.csv,0.67,0.66,0.12,0.15,0.41,0.4,0.2,0.38,0.0,0.31,0.63,0.72
kml.csv,0.38,0.99,0.83,0.32,0.23,0.81,0.9,0.93,0.31,0.97,0.9,1.0
ppcboot.csv,0.96,0.78,0.94,0.27,0.97,0.94,0.81,0.95,1.0,1.0,1.0,1.0
repositorium.csv,0.0,0.09,0.11,0.0,0.18,0.35,0.23,0.71,0.08,0.72,0.49,0.87
rsyslog.csv,0.25,0.87,0.39,0.55,0.21,0.83,0.34,0.27,0.38,0.99,0.41,1.0
simplewebservices.csv,1.0,0.78,0.98,0.99,0.85,0.99,0.99,0.24,0.92,0.98,0.82,0.38
ultimairis.csv,0.58,0.9,0.45,0.88,1.0,0.07,0.22,0.69,1.0,0.32,0.57,0.57
wow-qrsk.csv,0.0,0.31,0.24,0.12,0.0,0.0,0.02,0.04,0.08,0.7,0.0,0.11
wxstudio.csv,0.75,0.39,0.84,0.82,0.59,0.7,0.86,0.29,0.77,0.16,0.24,0.05
xbg.csv,0.29,0.05,0.04,0.51,0.38,0.01,0.17,0.29,0.31,0.63,0.37,0.52
xqilla.csv,0.0,0.31,0.47,0.22,0.21,0.65,0.36,0.38,0.38,0.06,0.14,0.11
