,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.72,0.96,0.75,0.75,0.48,0.56,0.37,0.62,0.45
massiv.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mesa3d.csv,0.28,0.17,0.31,0.25,0.38,0.3,0.21,0.78,0.53
ngl.csv,0.76,0.58,0.62,0.5,0.54,1.0,0.51,0.49,0.53
nutz.csv,0.93,0.58,0.69,0.75,0.56,0.56,0.41,0.61,0.27
ossim.csv,0.01,0.0,0.81,0.25,0.0,0.0,0.0,0.0,0.01
qmmp.csv,0.75,0.56,0.56,1.0,0.58,0.72,0.95,0.78,0.57
rcp-company-uibindings.csv,0.83,0.98,0.94,1.0,0.9,0.98,0.81,0.8,1.0
v8.csv,0.77,0.97,0.94,1.0,1.0,0.96,0.94,1.0,0.65
