,nutz.csv,jajuk.csv,ossim.csv,massiv.csv,v8.csv,ngl.csv,qmmp.csv,mesa3d.csv,rcp-company-uibindings.csv
jajuk.csv,0.42,0.44,0.48,0.48,0.41,0.42,0.71,0.43,0.4
massiv.csv,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
mesa3d.csv,0.7,0.93,0.98,0.81,0.8,0.89,0.97,0.9,0.62
ngl.csv,0.53,0.47,0.45,0.51,0.47,0.56,0.56,0.54,0.45
nutz.csv,0.68,0.54,0.63,0.61,0.57,0.63,0.69,0.57,0.68
ossim.csv,0.0,0.0,0.92,0.91,0.0,0.0,0.0,0.0,0.5
qmmp.csv,0.55,0.52,0.62,0.48,0.55,0.5,0.53,0.56,0.5
rcp-company-uibindings.csv,0.39,0.38,0.37,0.41,0.41,0.45,0.41,0.43,0.4
v8.csv,0.44,0.38,0.39,0.41,0.44,0.47,0.42,0.45,0.47
