,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.51,0.92,0.66,1.03,0.86,0.84,0.85,0.84,0.65,0.66,0.69,1.01,0.78
apolloplayer.csv,0.84,0.38,0.79,0.64,0.8,0.73,0.64,0.9,0.91,0.68,0.75,0.6,0.47
auber.csv,0.74,0.99,0.92,1.0,1.0,0.88,0.87,0.84,0.84,0.98,0.83,0.99,0.33
irrlicht.csv,0.98,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.61,0.82,1.0
k3d.csv,0.72,0.88,0.71,0.07,0.73,0.9,0.26,0.64,0.88,0.9,0.84,0.67,0.64
nug.csv,0.71,0.77,0.33,0.34,0.78,0.89,0.53,0.56,0.7,0.71,0.69,1.01,0.95
owlapi.csv,0.51,0.85,0.64,0.13,0.69,0.75,0.87,0.84,0.63,0.3,0.7,1.1,0.89
ppcboot.csv,0.98,0.94,1.0,1.0,0.97,0.88,0.86,0.8,0.51,1.0,0.96,1.0,0.89
red5.csv,0.88,0.57,0.81,0.17,0.55,0.68,0.98,0.51,0.86,0.46,0.76,0.86,0.92
redshell.csv,0.89,0.77,0.81,1.26,0.75,0.43,0.83,0.82,0.76,0.96,0.69,0.72,0.6
utgb.csv,0.79,0.73,0.95,1.01,0.39,0.74,0.83,0.77,0.85,0.95,0.76,0.24,0.76
xreal.csv,0.93,0.94,0.97,1.0,0.71,0.78,0.79,0.79,0.87,1.0,0.84,0.02,0.99
