,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.32,0.1,0.39,0.25,0.06,0.0,0.14,0.03,0.18,0.63,0.27,0.14,0.22
apolloplayer.csv,0.58,0.24,0.53,0.64,0.74,0.5,0.62,0.86,0.91,0.33,0.65,0.57,0.29
auber.csv,0.46,0.99,0.58,1.0,1.0,0.88,0.86,0.76,0.83,0.95,0.8,0.99,0.25
irrlicht.csv,0.98,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.55,0.72,1.0
k3d.csv,0.54,0.03,0.11,0.07,0.52,0.0,0.17,0.48,0.87,0.76,0.18,0.3,0.15
nug.csv,0.64,0.18,0.28,0.34,0.71,0.0,0.45,0.41,0.56,0.37,0.51,0.14,0.91
owlapi.csv,0.44,0.32,0.25,0.13,0.06,0.38,0.64,0.0,0.54,0.25,0.43,0.47,0.6
ppcboot.csv,0.98,0.94,1.0,1.0,0.97,0.88,0.84,0.76,0.31,1.0,0.96,1.0,0.89
red5.csv,0.88,0.39,0.81,0.17,0.48,0.5,0.98,0.41,0.86,0.43,0.75,0.86,0.91
redshell.csv,0.28,0.39,0.39,0.76,0.68,0.38,0.8,0.62,0.73,0.85,0.49,0.4,0.2
utgb.csv,0.22,0.29,0.14,0.11,0.26,0.12,0.22,0.1,0.26,0.22,0.41,0.13,0.15
xreal.csv,0.14,0.43,0.22,0.08,0.45,0.12,0.47,0.59,0.29,0.38,0.25,0.02,0.07
