,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.63,0.9,0.55,0.99,0.86,0.97,0.97,0.88,0.99,0.63,0.78,0.96,0.83
apolloplayer.csv,0.52,0.56,0.46,0.39,0.4,0.51,0.42,0.33,0.55,0.47,0.46,0.56,0.57
auber.csv,0.59,0.45,0.5,0.34,0.38,0.46,0.37,0.41,0.56,0.49,0.48,0.36,0.48
irrlicht.csv,0.4,0.44,0.38,0.34,0.38,0.45,0.35,0.32,0.57,0.47,0.51,0.42,0.39
k3d.csv,0.52,0.8,0.89,0.97,0.39,0.94,0.72,0.44,0.57,0.58,0.97,0.71,0.79
nug.csv,0.5,0.95,0.67,0.73,0.5,0.95,0.57,0.46,0.78,0.61,0.6,0.96,0.47
owlapi.csv,0.58,0.83,0.88,0.98,0.85,0.75,0.46,0.86,0.86,0.57,0.71,0.65,0.68
ppcboot.csv,0.4,0.44,0.38,0.34,0.38,0.47,0.4,0.41,0.81,0.47,0.45,0.36,0.4
red5.csv,0.41,0.51,0.41,0.99,0.39,0.57,0.35,0.43,0.62,0.49,0.49,0.4,0.42
redshell.csv,0.96,0.95,0.84,0.42,0.47,0.57,0.41,0.55,0.73,0.58,0.71,0.77,0.85
utgb.csv,0.86,0.55,0.83,0.98,0.52,0.67,0.86,0.92,0.53,0.97,0.56,0.96,0.84
xreal.csv,0.97,0.84,0.89,0.97,0.5,0.98,0.59,0.54,0.62,0.98,0.91,0.88,0.8
