,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.82,0.82,0.89,0.69,0.51,0.53,0.78,0.95,0.86,0.53,0.86,0.83,0.52,0.98,0.52,0.74,0.6,0.6,0.97
autofac.csv,0.7,0.87,0.94,0.28,0.76,0.74,0.5,0.83,0.72,0.6,0.95,0.73,0.65,0.65,0.7,0.41,0.76,0.64,1.04
avisynth2.csv,0.76,0.79,0.84,0.9,1.0,0.99,0.88,0.97,0.9,1.0,1.0,0.88,0.89,0.05,1.0,0.88,0.87,0.95,1.0
azureus.csv,1.01,0.93,0.79,1.0,0.79,0.89,1.0,0.92,0.76,0.98,0.88,0.35,0.62,0.84,1.01,1.0,0.81,0.9,0.85
dsworkbench.csv,0.95,0.7,0.38,0.87,0.7,0.91,1.0,0.95,0.81,1.0,0.9,0.9,0.95,1.1,0.86,0.73,0.91,0.85,1.0
forester-atv.csv,0.53,0.41,0.68,0.75,0.85,0.84,0.51,0.89,0.83,0.66,0.55,0.92,0.88,0.73,0.58,0.79,0.82,1.08,1.0
freelords.csv,0.25,0.93,0.76,0.57,0.79,0.48,0.5,0.84,0.7,0.57,0.77,0.93,0.55,0.84,0.58,0.48,0.78,0.48,0.7
gabel.csv,1.0,0.57,0.74,0.66,0.59,0.74,0.4,0.77,0.76,0.28,0.72,0.56,0.64,0.81,0.6,0.66,0.62,0.73,0.74
geotools.csv,0.58,0.64,0.68,0.66,0.65,0.62,0.58,0.84,0.57,0.66,0.71,0.68,0.81,0.61,0.72,0.4,0.5,0.77,0.59
google-collections.csv,0.2,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.98,0.94,0.76,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.68,0.81,0.89,0.63,0.97,0.91,0.3,0.88,0.81,0.37,0.83,0.57,0.64,0.59,0.61,0.58,0.71,0.89,1.03
mycila.csv,1.01,0.69,0.76,0.95,1.0,0.71,0.81,0.8,0.98,0.83,0.31,0.56,0.68,0.68,0.8,0.96,0.65,0.84,0.82
neodatis-odb.csv,1.16,0.71,0.8,0.71,0.89,0.86,1.02,0.38,0.73,0.96,0.63,0.55,0.92,0.67,0.8,0.88,0.79,0.54,0.75
octet.csv,0.65,0.86,0.71,0.76,0.72,0.76,0.86,0.6,0.71,0.69,0.85,0.74,0.73,0.76,0.32,0.61,0.62,0.55,0.8
pokenetonline.csv,0.6,0.88,0.94,0.91,0.78,0.63,0.68,0.86,0.48,0.83,0.82,0.88,0.32,0.89,0.87,0.74,0.78,0.52,0.77
rcp-company-uibindings.csv,0.29,0.62,0.79,0.64,0.81,0.53,0.49,0.85,0.66,0.6,0.79,0.6,0.76,0.49,0.86,0.37,0.55,0.15,0.59
scenemonitor.csv,0.55,0.71,0.69,0.52,0.68,0.56,0.45,0.75,0.38,0.58,0.9,0.6,0.59,1.01,0.75,0.63,0.65,0.53,0.69
thedata.csv,1.04,0.57,0.53,0.75,0.87,0.8,0.88,0.73,0.98,0.82,0.56,0.73,0.74,0.75,0.91,1.01,0.77,1.05,0.06
twostep.csv,0.95,0.8,0.78,0.85,0.66,0.56,0.5,0.82,0.76,0.62,0.84,0.8,0.59,0.81,0.53,0.19,0.74,0.69,0.87
