,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.26,0.39,0.3,0.04,0.11,0.09
libtorrent.csv,0.63,0.33,0.7,0.45,0.51,0.99
moviesandbox.csv,0.34,0.22,0.51,0.65,0.44,0.58
sigil.csv,0.49,0.17,0.24,0.33,0.3,0.67
xbg.csv,0.2,0.28,0.43,0.31,0.1,0.08
xtreemfs.csv,0.66,0.11,0.24,0.29,0.23,0.66
