,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.66,0.23,0.52,0.66,0.73,0.57,0.42,0.63,0.66,0.55,0.52,0.5,0.54,0.36,0.52,0.75,0.0,0.66
decidr.csv,0.48,0.7,0.71,0.61,0.62,0.41,0.36,0.0,0.45,0.13,0.74,0.32,0.21,0.35,0.59,0.13,0.5,0.21
elmo.csv,0.44,0.62,0.37,0.48,0.64,0.45,0.26,0.49,0.51,0.36,0.54,0.46,0.5,0.33,0.49,0.48,0.66,0.43
gpac.csv,0.55,0.24,0.56,0.54,0.74,0.48,0.53,0.43,0.4,0.5,0.2,0.65,0.3,0.47,0.5,0.64,0.56,0.32
illumination.csv,0.0,0.33,0.1,0.12,0.24,0.0,0.36,0.54,0.0,0.39,0.02,0.0,0.0,0.56,0.35,0.13,0.82,0.0
img-browse-sort.csv,0.63,0.47,0.49,0.6,0.67,0.63,0.67,0.62,0.52,0.68,0.57,0.6,0.58,0.48,0.58,0.65,0.52,0.55
jajuk.csv,0.65,0.6,0.65,0.79,0.72,0.65,0.56,0.67,0.69,0.62,0.17,0.41,0.69,0.0,0.65,0.69,0.67,0.53
ktc.csv,0.75,0.44,0.7,0.7,0.63,0.61,0.16,0.65,0.66,0.41,0.54,0.57,0.58,0.46,0.58,0.55,0.39,0.68
miranda.csv,0.69,0.0,0.69,0.17,0.11,0.05,0.35,0.0,0.13,0.58,0.32,0.11,0.4,0.0,0.61,0.0,0.28,0.71
neoengine.csv,0.42,0.17,0.65,0.66,0.71,0.48,0.55,0.53,0.39,0.62,0.66,0.38,0.7,0.63,0.72,0.71,0.52,0.48
nicepress.csv,0.55,0.71,0.4,0.64,0.67,0.58,0.49,0.17,0.68,0.75,0.72,0.32,0.13,0.5,0.58,0.58,0.6,0.5
omseek.csv,0.3,0.0,0.12,0.48,0.2,0.19,0.02,0.4,0.24,0.04,0.24,0.05,0.15,0.39,0.67,0.54,0.21,0.33
rosegarden.csv,0.77,0.54,0.3,0.55,0.62,0.54,0.42,0.63,0.7,0.63,0.43,0.53,0.42,0.17,0.58,0.67,0.43,0.69
smarttag.csv,0.68,0.24,0.29,0.36,0.49,0.63,0.46,0.0,0.63,0.62,0.4,0.24,0.02,0.53,0.66,0.18,0.57,0.44
sylpheed-claws.csv,0.27,0.0,0.24,0.21,0.13,0.0,0.0,0.61,0.24,0.0,0.38,0.68,0.7,0.21,0.0,0.0,0.13,0.0
vapor.csv,0.0,0.0,0.73,0.7,0.0,0.55,0.17,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.65,0.0,0.43,0.0
zorannt.csv,0.53,0.71,0.22,0.59,0.64,0.57,0.66,0.38,0.35,0.17,0.52,0.6,0.65,0.58,0.61,0.75,0.53,0.56
zscreen.csv,0.71,0.24,0.68,0.58,0.63,0.68,0.75,0.33,0.66,0.68,0.49,0.31,0.24,0.47,0.72,0.53,0.44,0.62
