,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.94,0.39,0.33,0.69,0.8,0.57,0.76,0.43,0.16,0.27,0.33,0.68
crisscross.csv,0.97,0.37,0.52,0.8,0.5,0.42,0.77,0.52,0.15,0.35,0.38,0.84
gabel.csv,0.61,0.35,0.33,0.65,0.24,0.46,0.43,0.27,0.39,0.09,0.31,0.57
jguard.csv,0.48,0.37,0.24,0.66,0.8,0.25,0.52,0.51,0.23,0.2,0.37,0.63
jitterbit.csv,0.85,0.13,0.28,0.66,0.2,0.63,0.57,0.43,0.16,0.11,0.25,0.65
mycila.csv,0.94,0.24,0.29,0.52,0.83,0.18,0.69,0.56,0.18,0.36,0.48,0.71
nova.csv,0.74,0.67,0.29,0.67,0.73,0.33,0.54,0.53,0.22,0.21,0.21,0.73
ontomorphtab.csv,0.81,0.41,0.32,0.75,0.71,0.39,0.67,0.48,0.22,0.14,0.38,0.72
tmva.csv,0.51,0.4,0.3,0.77,0.79,0.3,0.8,0.38,0.12,0.2,0.3,0.84
vienna-add-in.csv,0.75,0.45,0.31,0.65,0.54,0.37,0.77,0.32,0.0,0.33,0.26,0.7
vrjuggler.csv,0.5,0.0,0.23,0.5,0.23,0.34,0.41,0.18,0.0,0.48,0.11,0.23
wpdev.csv,1.0,0.36,0.27,0.8,0.55,0.43,0.78,0.5,0.15,0.31,0.32,0.85
