,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.38,0.46,0.38,0.4,0.43
chaperon.csv,0.0,0.5,0.88,0.75,0.94
mule.csv,0.47,0.95,0.71,0.8,0.63
springside.csv,0.38,0.6,0.37,0.41,0.38
swtfox.csv,0.81,0.69,0.71,0.69,0.73
