,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.75,0.56,0.51,0.18,1.0
chaperon.csv,0.0,0.08,0.12,1.0,0.44
mule.csv,0.98,0.26,0.29,0.0,0.63
springside.csv,0.7,0.98,0.4,0.17,0.78
swtfox.csv,0.38,0.31,0.99,0.0,0.39
