,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.79,0.81,0.68,0.92
freelords.csv,0.75,0.95,0.66,0.6
jfreereport.csv,0.08,0.4,0.27,0.4
super-tux.csv,0.92,0.46,0.32,0.91
