,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.66,0.16,0.76,0.96
freelords.csv,0.47,0.16,0.85,0.98
jfreereport.csv,0.33,0.25,0.88,0.95
super-tux.csv,0.46,0.19,0.74,1.0
