,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.41,0.41,0.38,0.45
freelords.csv,0.29,0.4,0.43,0.42
jfreereport.csv,0.83,0.78,0.71,0.54
super-tux.csv,0.31,0.5,0.53,0.42
