,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.77,0.63,0.59,0.53
freelords.csv,0.61,0.62,0.66,0.63
jfreereport.csv,0.1,0.45,0.31,0.43
super-tux.csv,0.47,0.49,0.36,0.93
