,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.25,0.11,0.18,0.22,0.17,0.16,0.52,0.16,0.25,0.16,0.38,0.33,0.21,0.47,0.01,0.17,0.17
all-plasm.csv,0.37,0.69,0.72,0.3,0.45,0.58,0.74,0.33,0.56,0.7,0.58,0.75,0.65,0.0,0.68,0.65,0.71
applet2app.csv,0.84,0.6,0.37,0.36,0.59,0.61,0.01,0.52,0.79,0.59,0.88,0.8,0.18,0.5,0.55,0.83,0.93
autat.csv,0.27,0.29,0.09,0.13,0.09,0.21,0.26,0.12,0.04,0.27,0.0,0.2,0.0,0.1,0.06,0.07,0.04
autowikibrowser.csv,0.4,0.29,0.3,0.24,0.39,0.21,0.34,0.39,0.56,0.28,0.18,0.43,0.54,0.6,0.42,0.02,0.33
gbif-providertoolkit.csv,0.06,0.03,0.13,0.03,0.05,0.16,0.22,0.0,0.09,0.09,0.13,0.33,0.06,0.03,0.02,0.11,0.11
htmlunit.csv,0.45,0.14,0.24,0.26,0.09,0.32,0.16,0.15,0.0,0.2,0.14,0.44,0.68,0.37,0.12,0.2,0.09
kmatplot.csv,0.43,0.31,0.02,0.48,0.16,0.19,0.18,0.21,0.15,0.28,0.24,0.16,0.07,0.13,0.13,0.22,0.19
mcore3d.csv,0.4,0.49,0.54,0.77,0.77,0.02,0.47,0.52,0.64,0.55,0.61,0.44,0.79,0.93,0.47,0.52,0.51
nh3d.csv,0.02,0.03,0.27,0.0,0.09,0.18,0.17,0.04,0.03,0.23,0.04,0.2,0.06,0.17,0.01,0.13,0.03
qgo.csv,0.5,0.03,0.37,0.43,0.44,0.28,0.3,0.45,0.56,0.37,0.27,0.46,0.34,0.63,0.37,0.44,0.54
qtwin.csv,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
reactos-mirror.csv,0.03,0.54,0.71,0.59,0.76,0.72,0.57,0.61,0.5,0.7,0.38,0.44,0.38,0.8,0.83,0.85,0.89
taokgame.csv,0.1,0.17,0.2,0.0,0.01,0.21,0.14,0.07,0.05,0.31,0.16,0.26,0.21,0.13,0.08,0.24,0.13
unbvision.csv,0.14,0.23,0.72,0.04,0.62,0.19,0.66,0.48,0.31,0.71,0.0,0.23,0.54,0.63,0.38,0.33,0.26
uwom.csv,0.17,0.54,0.84,0.97,0.66,0.63,0.53,0.46,0.48,0.59,0.22,0.28,0.4,0.17,0.53,0.7,0.01
wishmaster.csv,0.0,0.06,0.18,0.0,0.3,0.16,0.15,0.31,0.21,0.14,0.05,0.0,0.13,0.4,0.35,0.3,0.17
