,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.43,0.28,0.41,0.34,0.44,0.38,0.29,0.97,0.43,0.59
electric-core.csv,0.38,0.93,0.41,0.29,0.56,0.71,0.45,0.36,0.37,0.62
jahshakafx.csv,0.94,0.29,0.18,0.23,0.39,0.52,0.29,0.14,0.27,0.32
jython.csv,0.7,0.53,0.95,0.49,0.78,0.81,0.48,0.11,0.9,0.79
kftpgrabber.csv,0.55,0.7,0.77,0.37,0.28,0.33,0.19,0.28,1.0,0.36
mvnforum.csv,0.08,0.25,0.41,0.63,0.94,0.38,0.07,0.22,0.53,0.21
openmalaria.csv,0.95,0.79,0.95,0.66,0.89,0.81,0.93,0.94,0.93,0.86
plplot.csv,0.86,0.74,1.0,0.63,0.94,0.86,0.55,0.42,0.7,0.68
popeye-chess.csv,0.83,0.71,0.68,0.97,0.72,0.48,0.6,0.42,0.63,0.54
zxing.csv,0.72,0.42,0.18,0.0,0.17,0.38,0.48,0.14,0.6,0.98
