,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.64,0.74,1.06,0.68,0.79,0.67,0.72,0.03,0.7,0.67
electric-core.csv,0.69,0.07,0.6,0.91,0.72,0.82,0.76,0.74,0.9,0.96
jahshakafx.csv,0.06,0.72,0.82,0.77,0.67,0.67,0.81,0.86,0.75,0.72
jython.csv,0.69,0.52,0.05,0.55,0.61,0.74,0.65,0.94,0.72,0.32
kftpgrabber.csv,0.53,0.62,0.97,0.63,0.76,0.68,0.81,0.77,0.02,0.68
mvnforum.csv,0.99,0.76,0.59,0.68,0.06,0.72,0.99,0.79,0.54,0.82
openmalaria.csv,0.48,0.61,0.99,0.45,0.8,0.58,0.07,0.79,0.63,0.72
plplot.csv,0.46,0.55,0.99,0.49,0.8,0.15,0.49,0.75,0.48,0.78
popeye-chess.csv,0.39,0.47,0.93,0.04,0.59,0.55,0.47,0.64,0.52,0.48
zxing.csv,0.39,0.59,0.82,1.0,0.88,0.67,0.57,0.92,0.58,0.02
