,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.28,0.18,0.88,0.16,0.57,0.25,0.08,0.0,0.4,0.53
electric-core.csv,0.3,0.0,0.11,0.57,0.57,0.77,0.53,0.37,0.65,0.88
jahshakafx.csv,0.0,0.13,0.03,0.02,0.27,0.47,0.37,0.05,0.15,0.24
jython.csv,0.62,0.24,0.0,0.18,0.57,0.72,0.39,0.32,0.71,0.24
kftpgrabber.csv,0.28,0.54,0.94,0.0,0.25,0.12,0.02,0.26,0.02,0.24
mvnforum.csv,0.36,0.12,0.05,0.57,0.02,0.37,0.33,0.16,0.27,0.24
openmalaria.csv,0.48,0.57,0.99,0.3,0.8,0.54,0.0,0.79,0.63,0.71
plplot.csv,0.44,0.48,0.99,0.32,0.8,0.04,0.2,0.47,0.37,0.71
popeye-chess.csv,0.35,0.37,0.88,0.02,0.52,0.16,0.24,0.26,0.37,0.12
zxing.csv,0.28,0.1,0.0,0.0,0.27,0.26,0.22,0.32,0.42,0.0
