,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.47,0.32,0.28,0.39,0.44,0.42,0.34,0.98,0.46,0.56
electric-core.csv,0.42,0.94,0.46,0.31,0.53,0.5,0.45,0.39,0.37,0.34
jahshakafx.csv,0.95,0.33,0.22,0.27,0.43,0.52,0.33,0.17,0.31,0.36
jython.csv,0.6,0.56,0.96,0.53,0.67,0.59,0.5,0.13,0.63,0.78
kftpgrabber.csv,0.58,0.63,0.23,0.42,0.32,0.38,0.23,0.32,1.0,0.4
mvnforum.csv,0.1,0.29,0.46,0.58,0.95,0.41,0.09,0.26,0.56,0.25
openmalaria.csv,0.82,0.68,0.05,0.67,0.53,0.7,0.94,0.55,0.71,0.62
plplot.csv,0.78,0.68,0.05,0.64,0.54,0.88,0.59,0.44,0.68,0.54
popeye-chess.csv,0.79,0.69,0.35,0.97,0.65,0.52,0.63,0.46,0.63,0.59
zxing.csv,0.72,0.47,0.22,0.0,0.2,0.42,0.52,0.17,0.6,0.98
