,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.51,0.6,0.65,0.38,0.54,0.27,0.0,0.28,0.31,0.7,0.34,0.7
freedom-erp.csv,0.62,0.07,0.62,0.08,0.34,0.0,0.74,0.0,0.37,0.08,0.0,0.1
javaprofiler.csv,0.54,0.4,0.61,0.51,0.31,0.67,0.73,0.1,0.36,0.58,0.48,0.79
jmoney.csv,0.77,0.62,0.53,0.33,0.31,0.46,0.45,0.17,0.32,0.27,0.46,0.28
jsidplay2.csv,0.56,0.39,0.87,0.35,0.46,0.52,0.74,0.11,0.43,0.67,0.37,0.71
reaper3d.csv,0.58,0.6,0.68,0.14,0.25,0.35,0.63,0.25,0.51,0.43,0.5,0.36
servicestack.csv,0.09,0.0,0.0,0.14,0.21,0.01,0.02,0.0,0.61,0.05,0.0,0.05
springside.csv,0.39,0.51,0.62,0.67,0.35,0.54,0.68,0.16,0.48,0.41,0.47,0.47
swtfox.csv,0.1,0.59,0.29,0.34,0.57,0.49,0.04,0.0,0.0,0.66,0.45,0.7
synecdoche.csv,0.59,0.52,0.79,0.31,0.37,0.64,0.77,0.21,0.29,0.62,0.61,0.42
tmva.csv,0.41,0.43,0.78,0.58,0.41,0.82,0.73,0.18,0.41,0.57,0.44,0.56
wsmt.csv,0.33,0.28,0.09,0.32,0.2,0.11,0.08,0.0,0.35,0.81,0.12,0.65
