,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,1.0,0.0,1.0,0.0,1.0,318.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,1.0
arcallians.csv,0.0,0.0,3.0,13.0,0.0,19.0,30.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,3.0,0.0
arianne.csv,0.0,0.0,0.0,5.0,0.0,22.0,1.0,16.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
aztec.csv,0.0,1.0,0.0,2.0,0.0,0.0,2.0,262.0,2.0,2.0,105.0,259.0,2.0,0.0,4.0,0.0
bl-toolkit.csv,1.0,0.0,0.0,5.0,0.0,36.0,31.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,8.0,1.0
clamav.csv,0.0,0.0,1.0,3.0,2.0,3.0,5.0,10.0,3.0,0.0,6.0,0.0,4.0,1.0,5.0,7.0
gnupdate.csv,2.0,0.0,0.0,2.0,1.0,11.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
les-indemodables.csv,1.0,2.0,1.0,3.0,0.0,26.0,5.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0
mbse.csv,11.0,0.0,0.0,23.0,0.0,10.0,2.0,0.0,1.0,9.0,1.0,1.0,2.0,2.0,1.0,4.0
ns-3-dev-def-routing.csv,3.0,0.0,0.0,9.0,0.0,11.0,64.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0
openxava.csv,13.0,5.0,0.0,2.0,2.0,34.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,5.0,3.0,5.0
phonon-vlc-mplayer.csv,0.0,0.0,0.0,0.0,0.0,5.0,33.0,4.0,4.0,5.0,4.0,0.0,2.0,3.0,4.0,0.0
qgis.csv,0.0,0.0,0.0,7.0,0.0,4.0,33.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
vars-redux.csv,0.0,2.0,0.0,10.0,1.0,11.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,1.0,0.0
xapian.csv,0.0,0.0,0.0,2.0,0.0,12.0,32.0,1.0,1.0,5.0,5.0,0.0,1.0,4.0,0.0,0.0
yafdotnet.csv,3.0,0.0,1.0,1.0,6.0,26.0,31.0,0.0,5.0,5.0,7.0,0.0,0.0,1.0,8.0,6.0
