,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.6,0.63,0.73,0.36,0.48,0.41,0.62,0.51,0.61,0.48,0.6,0.56,0.42
echongl.csv,0.55,0.59,0.79,0.72,0.36,0.7,0.5,0.56,0.56,0.97,0.62,0.98,0.89
les-indemodables.csv,0.54,0.56,0.56,0.47,0.6,0.42,0.51,0.65,0.63,0.62,0.52,0.67,0.88
mbse.csv,0.58,0.54,0.61,0.77,0.51,0.49,0.52,0.56,0.58,0.86,0.64,0.68,0.58
ns-3-dev-def-routing.csv,0.6,0.63,0.96,0.43,0.78,0.65,0.63,0.62,0.67,0.57,0.45,0.89,0.75
psycle.csv,0.53,0.5,0.37,0.37,0.35,0.38,0.42,0.43,0.45,0.58,0.38,0.5,0.44
qpe.csv,0.97,0.68,0.77,0.93,0.66,0.52,0.67,0.74,0.57,0.91,0.47,0.64,0.57
simplewebservices.csv,0.66,0.55,0.68,0.43,0.63,0.39,0.56,0.47,0.67,0.6,0.57,0.59,0.45
v8.csv,0.64,0.77,0.36,0.48,0.3,0.38,0.53,0.44,0.46,0.56,0.35,0.47,0.44
wikipediardware.csv,0.45,0.46,0.35,0.35,0.3,0.36,0.39,0.36,0.37,0.49,0.37,0.42,0.46
wxstudio.csv,0.77,0.98,0.97,0.98,0.89,0.63,0.67,0.69,0.62,0.95,0.95,0.76,0.61
xamj.csv,0.51,0.5,0.57,0.44,0.84,0.66,0.55,0.52,0.64,0.7,0.48,0.64,0.54
