,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.13,0.58,0.99,0.4,0.55,0.02,0.41,0.74,0.44,0.53,0.45,0.51,0.84
echongl.csv,0.13,0.67,0.27,0.17,0.98,0.0,0.53,0.82,0.57,0.29,0.36,0.3,0.43
les-indemodables.csv,0.16,0.52,0.3,0.39,0.47,0.03,0.5,0.68,0.45,1.0,0.5,0.44,0.3
mbse.csv,0.13,0.67,0.26,0.93,0.59,0.0,0.47,0.71,0.52,0.3,0.43,0.47,0.59
ns-3-dev-def-routing.csv,0.23,0.57,0.24,0.34,0.41,0.06,0.99,0.55,0.47,0.62,0.5,0.34,0.41
psycle.csv,0.18,0.97,0.45,0.41,0.73,0.02,0.53,0.86,0.52,0.46,0.53,0.47,0.74
qpe.csv,0.93,0.55,0.31,0.25,0.4,0.02,0.39,0.54,0.59,0.24,0.47,0.31,0.67
simplewebservices.csv,0.14,0.6,0.33,0.44,0.29,0.03,0.55,0.71,0.23,0.6,0.98,0.43,0.8
v8.csv,0.13,0.46,0.44,0.33,0.83,0.02,0.46,1.0,0.62,0.43,0.58,0.5,0.82
wikipediardware.csv,0.18,0.75,0.43,0.45,0.81,0.02,0.56,0.83,0.59,0.56,0.57,0.55,0.99
wxstudio.csv,0.17,0.18,0.3,0.22,0.39,0.06,0.4,0.4,0.95,0.18,0.13,0.32,0.64
xamj.csv,0.21,0.64,0.34,0.38,0.26,0.0,0.45,0.57,0.45,0.43,0.46,0.99,0.7
