,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.62,0.61,0.01,1.0,0.55,0.68,0.54,0.38,0.61,1.0,0.38,0.26,1.0
echongl.csv,0.76,0.71,0.23,0.46,0.0,0.32,0.63,0.62,0.78,0.35,0.49,0.11,0.43
les-indemodables.csv,0.63,0.41,0.42,0.43,0.34,0.58,0.47,0.77,0.51,0.0,0.33,0.31,0.07
mbse.csv,0.7,0.86,0.44,0.02,0.45,0.68,0.57,0.62,0.71,0.46,0.33,0.12,0.86
ns-3-dev-def-routing.csv,0.34,0.26,0.17,0.82,0.21,0.26,0.0,0.31,0.43,0.22,0.51,0.16,0.36
psycle.csv,0.55,0.0,0.73,0.88,0.87,0.78,0.78,0.69,0.63,0.71,0.9,0.63,0.43
qpe.csv,0.0,0.73,0.39,0.2,0.53,0.69,0.57,0.31,0.65,0.54,0.81,0.76,0.86
simplewebservices.csv,0.46,0.43,0.34,0.7,0.79,0.5,0.52,0.62,0.35,0.55,0.01,0.33,0.79
v8.csv,0.58,0.34,0.93,0.76,1.0,0.93,0.73,0.0,0.9,0.94,0.94,0.69,1.0
wikipediardware.csv,0.69,0.5,0.93,0.72,0.97,0.97,0.82,0.62,0.55,0.91,0.97,0.56,0.07
wxstudio.csv,0.38,0.27,0.22,0.16,0.08,0.25,0.28,0.15,0.06,0.22,0.1,0.42,0.64
xamj.csv,0.29,0.37,0.37,0.77,0.39,0.32,0.49,0.38,0.22,0.32,0.56,0.0,0.86
