,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,75.0,0.0,0.0,0.0,0.0,59.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0
echongl.csv,0.0,0.0,5.0,0.0,0.0,117.0,1.0,0.0,0.0,5.0,11.0,1.0,0.0
les-indemodables.csv,51.0,0.0,6.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mbse.csv,0.0,5.0,13.0,0.0,0.0,117.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0
ns-3-dev-def-routing.csv,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,12.0,0.0
psycle.csv,0.0,0.0,1.0,0.0,0.0,72.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0
qpe.csv,0.0,0.0,7.0,13.0,0.0,74.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
simplewebservices.csv,40.0,0.0,12.0,0.0,0.0,41.0,2.0,0.0,1.0,0.0,0.0,18.0,2.0
v8.csv,0.0,0.0,7.0,0.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
wikipediardware.csv,0.0,0.0,6.0,11.0,0.0,93.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
wxstudio.csv,0.0,5.0,5.0,3.0,0.0,18.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0
xamj.csv,15.0,1.0,2.0,0.0,0.0,117.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
