,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.07,0.63,0.98,0.25,0.68,0.01,0.36,0.96,0.39,0.36,0.45,0.48,0.73
echongl.csv,0.07,0.65,0.29,0.14,1.0,0.0,0.42,0.95,0.44,0.3,0.35,0.47,0.67
les-indemodables.csv,0.09,0.66,0.25,0.3,0.72,0.01,0.44,0.92,0.42,1.0,0.52,0.4,0.88
mbse.csv,0.07,0.62,0.22,0.95,0.74,0.0,0.39,0.94,0.42,0.29,0.46,0.58,0.64
ns-3-dev-def-routing.csv,0.14,0.77,0.31,0.22,0.78,0.03,1.0,0.95,0.46,0.62,0.45,0.43,0.69
psycle.csv,0.1,1.0,0.31,0.26,0.7,0.01,0.4,0.95,0.44,0.35,0.39,0.34,0.81
qpe.csv,1.0,0.58,0.27,0.27,0.6,0.01,0.34,0.95,0.48,0.22,0.37,0.22,0.68
simplewebservices.csv,0.08,0.7,0.3,0.29,0.42,0.02,0.46,0.94,0.29,0.46,0.99,0.38,0.75
v8.csv,0.08,0.67,0.29,0.22,0.72,0.01,0.36,1.0,0.45,0.31,0.42,0.35,0.72
wikipediardware.csv,0.1,0.74,0.28,0.3,0.72,0.01,0.41,0.95,0.5,0.39,0.41,0.4,0.97
wxstudio.csv,0.1,0.44,0.32,0.28,0.89,0.03,0.45,0.96,0.92,0.26,0.36,0.28,0.71
xamj.csv,0.13,0.74,0.3,0.25,0.53,0.0,0.4,0.94,0.56,0.43,0.4,0.99,0.69
