,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.51,0.5,1.0,0.0,0.45,0.7,0.48,0.6,0.48,0.0,0.47,0.58,0.0
echongl.csv,0.5,0.54,0.29,0.26,0.98,0.0,0.6,0.61,0.53,0.31,0.39,0.27,0.35
les-indemodables.csv,0.61,0.45,0.41,0.55,0.38,0.78,0.56,0.43,0.49,1.0,0.52,0.51,0.21
mbse.csv,0.54,0.4,0.35,0.92,0.49,0.0,0.54,0.52,0.54,0.35,0.44,0.44,0.35
ns-3-dev-def-routing.csv,0.64,0.49,0.24,0.45,0.32,0.93,0.99,0.43,0.5,0.65,0.56,0.31,0.33
psycle.csv,0.66,0.95,0.59,0.4,0.39,0.59,0.52,0.6,0.56,0.54,0.34,0.63,0.65
qpe.csv,0.89,0.44,0.41,0.27,0.32,0.69,0.45,0.42,0.63,0.29,0.44,0.42,0.38
simplewebservices.csv,0.5,0.54,0.42,0.63,0.22,0.83,0.63,0.52,0.22,0.72,0.97,0.51,0.53
v8.csv,0.52,0.4,0.27,0.49,0.0,0.27,0.5,1.0,0.35,0.23,0.24,0.64,0.0
wikipediardware.csv,0.65,0.69,0.27,0.64,0.13,0.13,0.5,0.62,0.65,0.33,0.13,0.73,0.99
wxstudio.csv,0.53,0.13,0.32,0.21,0.29,0.94,0.39,0.29,0.96,0.17,0.1,0.41,0.52
xamj.csv,0.54,0.57,0.43,0.53,0.2,0.0,0.51,0.43,0.42,0.46,0.51,0.98,0.39
