,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.56,0.54,1.0,1.0,0.45,1.0,0.48,0.6,0.51,1.0,0.44,0.55,1.0
echongl.csv,0.69,0.69,0.25,0.23,0.97,0.0,0.71,0.72,0.81,0.27,0.37,0.23,0.32
les-indemodables.csv,0.72,0.42,0.38,0.55,0.34,1.0,0.57,0.54,0.49,1.0,0.49,0.48,0.18
mbse.csv,0.67,0.73,0.32,0.91,0.48,0.0,0.57,0.57,0.68,0.32,0.4,0.39,0.55
ns-3-dev-def-routing.csv,0.64,0.45,0.2,0.71,0.28,1.0,0.99,0.39,0.49,0.62,0.58,0.27,0.29
psycle.csv,0.74,0.94,0.85,0.94,0.77,1.0,0.8,0.78,0.65,0.68,0.82,0.76,0.68
qpe.csv,0.87,0.53,0.38,0.23,0.3,1.0,0.45,0.38,0.78,0.27,0.66,0.51,0.66
simplewebservices.csv,0.49,0.53,0.38,0.88,0.22,1.0,0.68,0.58,0.19,0.84,0.97,0.48,0.87
v8.csv,0.56,0.36,0.98,0.66,0.98,1.0,0.63,1.0,0.97,0.73,0.94,0.87,0.95
wikipediardware.csv,0.9,0.76,0.95,0.94,0.94,1.0,0.88,0.74,0.73,1.0,0.95,0.87,1.0
wxstudio.csv,0.51,0.11,0.28,0.18,0.25,1.0,0.35,0.25,0.97,0.14,0.08,0.38,0.58
xamj.csv,0.51,0.56,0.4,0.78,0.17,0.0,0.51,0.4,0.38,0.43,0.53,0.98,0.71
